time,open,high,low,close,Volume,Volume MA
1628442000,43720,43910,43519.51,43674.82,2900.629779,3067.838542200011
1628445600,43674.81,43923.5,43396.35,43627.13,2277.095947,3076.9689440000116
1628449200,43619.54,43884.1,43261,43715.1,2655.503742,3031.0803678500115
1628452800,43715.1,44270,43541.05,43840.91,3178.497668,2960.1290854000117
1628456400,43840.91,44260.67,43758.23,44229.2,1313.660796,2896.0706808000114
1628460000,44229.2,44581,44152.91,44188.37,2002.959988,2900.406846050011
1628463600,44188.37,44444,43636.03,43794.37,2212.366889,2927.186705150011
1628467200,43794.36,43960.84,43050,43185.8,4131.980148,3055.7585594500115
1628470800,43185.8,43343.58,42779,43094.78,3272.584769,3074.7531011500114
1628474400,43094.78,43499.32,43045.41,43472.23,1269.670466,2815.7097665500114
1628478000,43472.23,43632.14,43273.4,43496.09,1170.675198,2712.9904280500114
1628481600,43496.09,43600,43234,43580.41,1991.740782,2673.2032264000113
1628485200,43580.41,43734.02,43372.91,43544.45,1208.520928,2607.291775900011
1628488800,43544.46,43651,43263.21,43474,1737.377372,2554.1884670500112
1628492400,43473.99,43845.39,43360.53,43800.74,1734.25151,2501.926887800011
1628496000,43800.74,43900,43600.92,43717.14,1940.535379,2447.369368300011
1628499600,43720,45011.63,43656.2,44855.11,5561.590748,2606.6697826000113
1628503200,44855.11,45700,44744.18,45646.63,6717.403177,2704.240556250011
1628506800,45646.63,46048.5,45474.37,45930.01,5031.825577,2790.6461933500113
1628510400,45930.01,46028.79,45544.18,45675.34,3200.091516,2775.448118950011
1628514000,45675.34,45904.28,45254.11,45396.01,3106.82624,2785.757942000011
1628517600,45396,46250,45373.5,45617.54,5672.630583,2955.5346738000108
1628521200,45617.53,46018,45611.8,45870.75,3078.195238,2976.669248600011
1628524800,45870.76,46143.11,45671.24,45889.96,2503.588069,2942.923768650011
1628528400,45889.96,46029.19,45767.25,45833.41,1432.89831,2948.885644350011
1628532000,45833.4,46454.15,45826.45,46193.99,3858.210241,3041.648157000011
1628535600,46193.99,46400,45814.52,45979.85,2602.098734,3061.134749250011
1628539200,45981.05,46401.97,45422,45459.36,4457.688556,3077.420169650011
